refid,year,pubmedid,pubmedcentralid,doi,uri
rid.9510,1984,,,10.1099/00207713-34-4-505,
rid.1514,1986,,,10.1099/00207713-36-2-351,
rid.729,1988,,,10.1099/00207713-38-1-89,
rid.41,1989,,,10.1099/00207713-39-2-152,
rid.4892,1990,,,10.1099/00207713-40-4-434,
rid.6023,1910,,,,
rid.1485,1993,,,10.1099/00207713-43-1-143,
rid.4923,1993,,,10.1099/00207713-43-2-266,
rid.6852,1993,,,10.1099/00207713-43-2-378,
rid.4968,1993,,,10.1099/00207713-43-2-398,
rid.6854,1994,,,10.1099/00207713-44-2-265,
rid.1366,1983,,,10.1099/00207713-33-4-875,
rid.17753,2016,27010208,,10.1007/s10482-016-0683-8,
rid.17758,2016,27375597,,10.3389/fmicb.2016.00877,
rid.17752,2016,26984352,,10.1007/s10482-016-0677-6,
rid.17756,2016,27048242,,10.1007/s10482-016-0681-x,
rid.17757,2016,10.1007/s10482-016-0682-9,,27027520,
rid.17754,2016,27902176,,10.1099/ijsem.0.001321,
rid.16155,2015,25899502,,10.1099/ijs.0.000268,
rid.17760,2016,,,10.13344/j.microbiol.china.150953,
rid.17761,2015,26346479,,10.1007/s10482-015-0569-1,
rid.17755,2016,26984353,,10.1007/s10482-016-0679-4,
rid.2928,1885,,,,
rid.8930,2001,,,,
rid.8931,2001,,,,
rid.10694,2000,11102404,,10.1093/jac/46.6.879,
rid.7762,2005,,,,
rid.5133,1999,,,10.1099/00207713-49-4-1325,
rid.9410,1974,,,10.1099/00207713-24-2-294,
rid.4181,1971,,,10.1099/00207713-21-4-326,
rid.9517,1997,8995827,,10.1099/00207713-47-1-224,
rid.6321,1979,,,10.1099/00207713-29-2-102,
rid.4141,1978,,,10.1099/00207713-28-3-341,
rid.17763,2016,27225458,,10.1007/s12275-016-6054-3,
rid.17745,2016,27380964,,10.1099/ijsem.0.001279,
rid.18577,2017,28598314,,10.1099/ijsem.0.001853,
rid.8937,1998,9776614,,10.1099/00207713-48-2-613,
rid.8932,2001,,,,
rid.8933,2001,,,,
rid.2960,1937,,,,
