parent_directory	filename	pmid	doi	notes
CMM-AI/publications	PMID_24816778.md	24816778		From filename
CMM-AI/publications	PMID_25943904.md	25943904		From filename
CMM-AI/publications	PMID_28686571.md	28686571		From filename
CMM-AI/publications	PMID_31421721.md	31421721		From filename
CMM-AI/publications	PMID_31552950.md	31552950		From filename
CMM-AI/publications	PMID_36719530.md	36719530		From filename
CMM-AI/publications	PMID_38269599.md	38269599		From filename
CMM-AI/publications	PMID_40328142.md	40328142		From filename
CMM-AI/publications	PMC4859581.md	26858104	10.1128/JB.00959-15	From PMC ID
CMM-AI/publications	PMC5018670.md	27651996	10.7717/peerj.2435	From PMC ID
CMM-AI/publications	PMC6764073.md	31572776	10.1021/acscentsci.9b00642	From PMC ID
CMM-AI/publications	PMC9301485.md	35875576	10.3389/fmicb.2022.921635	From PMC ID
CMM-AI/publications	doi_10_1073-pnas_1600558113.md	27035986	10.1073/pnas.1600558113	From DOI
CMM-AI/publications	doi_10_3389-fbioe_2023_1130939.md	36926689	10.3389/fbioe.2023.1130939	From DOI
CMM-AI/publications	e00266-15.md	25858842	10.1128/genomeA.00266-15	From DOI in file
CMM-AI/publications	fmicb-13-921635.md	35875576	10.3389/fmicb.2022.921635	From DOI in file (duplicate of PMC9301485)
CMM-AI/publications	fmicb-14-1258452.md	37901831	10.3389/fmicb.2023.1258452	From DOI in file
CMM-AI/publications	Machine_learning-led_semi-automated_medium_optimiz.md	40251395	10.1038/s42003-025-08039-2	From DOI in file
CMM-AI/publications	doi_10_1016-j_seppur_2025_131701.md	Not Found	10.1016/j.seppur.2025.131701	Not Found
CMM-AI/publications	doi_10_1038-nature16174.md	Not Found	10.1038/nature16174	Not Found
CMM-AI/publications	doi_10_1038-nchembio_1947.md	Not Found	10.1038/nchembio.1947	INCORRECT DOI - Nature paper about TNT detoxification in plants, NOT relevant to critical minerals
CMM-AI/publications	doi_10_1101-2023_08_22_554321v1.md	Not Found	10.1101/2023.08.22.554321	(bioRxiv pre-print)
CMM-AI/publications	doi_10_1101-2023_09_15_557123v1.md	Not Found	10.1101/2023.09.15.557123	INCORRECT DOI - bioRxiv paper NOT relevant to CMM/PFAS (content unknown/irrelevant)
CMM-AI/publications	Machine_Learning_Approaches_to_Predicting_Lanthani.md	Not Found	10.48550/arXiv.2309.12345	INCORRECT DOI - arXiv paper about multimodal AI/diffusion models, NOT lanthanides/critical minerals. Wrong paper in file.
PFAS-AI/publications	PMC10748008.md	38133402	10.3390/toxics11121001	From PMC ID
PFAS-AI/publications	doi_10_1371-journal_pone_0303904.md	38758752	10.1371/journal.pone.0303904	From DOI
PFAS-AI/publications	doi_10_3390-toxics11121001.md	38133402	10.3390/toxics11121001	From DOI (duplicate of PMC10748008)
PFAS-AI/publications	doi_10_1007-s11756-024-01654-0.md	Not Found	10.1007/s11756-024-01654-0	Not Found
PFAS-AI/publications	doi_10_1016-j_chemosphere_2014_01_072.md	Not Found	10.1016/j.chemosphere.2014.01.072	Not Found
PFAS-AI/publications	doi_10_1016-j_funbio_2025_101586.md	Not Found	10.1016/j.funbio.2025.101586	Not Found
PFAS-AI/publications	doi_10_1016-j_jhazmat_2023_133217.md	Not Found	10.1016/j.jhazmat.2023.133217	Not Found
PFAS-AI/publications	doi_10_1016-j_jhazmat_2024_136426.md	Not Found	10.1016/j.jhazmat.2024.136426	Not Found
PFAS-AI/publications	doi_10_1016-j_scitotenv_2024_172996.md	Not Found	10.1016/j.scitotenv.2024.172996	Not Found
PFAS-AI/publications	doi_10_1016-j_scitotenv_2024_176801.md	Not Found	10.1016/j.scitotenv.2024.176801	Not Found
PFAS-AI/publications	doi_10_1021-acs_est_5c06771.md	Not Found	10.1021/acs.est.5c06771	Not Found
PFAS-AI/publications	doi_10_1101-2025_09_19_677392.md	Not Found	10.1101/2025.09.19.677392	Not Found
PFAS-AI/publications	doi_10_1134-S0003683817050027.md	Not Found	10.1134/S0003683817050027	Not Found
PFAS-AI/publications	doi_10_3390-su151814000.md	Not Found	10.3390/su151814000	Not Found
